Ecosystem service,Benefit
Animal-based energy,Physical labour
Bio-remediation,Clean water and air
Buffering and attenuation of mass flows,"Reduction of damages, avoided costs, and avoided sediment pollution."
Climate regulation,Climate regulation
Dilution by atmosphere and ecosystems,Clean air
Dilution by atmosphere and ecosystems,Clean water
Dilution by atmosphere and ecosystems,Clean sanitation
Disease control,Human health
Fibres and other materials,Food production
Fibres and other materials,Raw materials
Filtration,Clean air and water
Flood and storm protection,"Reduction of damages, avoided costs, and avoided sediment pollution."
Genetic materials,Food production and medicine
Ground water,Clean water
Maintain nursery habitats,Food provision
Mass stabilisation and erosion control,"Reduction of damages, avoided costs, and avoided sediment pollution."
Mediation of sensory impacts,Clean air
Pest control,Ecosystem integrity
Pollination,Food production
Soil quality,"Food production, water quality, and reduction of damages"
Surface water,Clean water
Ventilation,Clean air
Water flow maintenance,Clean water
Water quality,Clean water
